Krabi,2,0,1,1,0,0,0,0,0,2
Bangkok,222,167,80,71,25,9,3,3,3,361
Kanchanaburi,4,2,1,1,2,0,0,0,0,6
Kalasin,1,1,1,1,0,0,0,0,0,3
Kamphaeng Phet,1,0,1,0,0,0,0,0,0,1
Khon Kaen,2,2,1,1,1,0,0,0,0,5
Chanthaburi,1,1,0,1,0,0,0,0,0,2
Chachoengsao,7,5,1,4,0,1,1,0,0,12
Chon Buri,12,11,2,8,1,0,1,0,0,23
Chai Nat,1,1,0,0,0,0,0,0,0,1
Chaiyaphum,2,1,0,0,1,0,0,0,0,2
Chumphon,2,2,0,1,1,0,0,0,0,4
Chiang Rai,4,2,2,0,0,0,0,0,0,4
Chiang Mai,1,1,0,1,0,1,0,0,0,3
Trang,0,0,0,0,0,0,0,0,0,0
Trat,0,0,0,0,0,0,0,0,0,0
Tak,1,1,0,0,0,0,0,0,0,1
Nakhon Nayok,0,0,0,0,0,0,0,0,0,0
Nakhon Pathom,15,12,3,4,2,0,1,0,0,22
Nakhon Phanom,1,0,0,1,0,0,0,0,0,1
Nakhon Ratchasima,5,3,1,2,1,0,0,0,0,7
Nakhon Si Thammarat,4,4,0,2,2,0,0,0,0,8
Nakhon Sawan,3,1,2,3,0,0,0,0,0,6
Nonthaburi,16,10,4,6,6,1,0,0,0,27
Narathiwat,0,0,0,0,0,0,0,0,0,0
Nan,0,0,0,0,0,0,0,0,0,0
Bueng Kan,0,0,0,0,0,0,0,0,0,0
Buri Ram,2,3,0,0,3,0,0,0,0,6
Pathum Thani,4,3,1,2,0,0,0,0,0,6
Prachuap Khiri Khan,2,1,0,0,2,1,0,0,0,4
Prachin Buri,3,2,0,0,1,1,0,0,0,4
Pattani,1,1,1,1,0,0,0,0,0,3
Phra Nakhon Si Ayutthaya,7,3,0,2,3,1,0,0,1,10
Phayao,1,1,0,0,1,0,0,0,0,2
Phangnga,0,0,0,0,0,0,0,0,0,0
Phatthalung,1,1,0,1,0,0,0,0,0,2
Phichit,0,0,0,0,0,0,0,0,0,0
Phitsanulok,1,0,0,0,2,0,0,0,0,2
Phetchaburi,1,1,0,0,1,0,0,0,0,2
Phetchabun,2,1,2,1,1,0,0,0,0,5
Phrae,0,0,0,0,0,0,0,0,0,0
Phuket,1,0,0,0,0,1,0,0,0,1
Maha Sarakham,0,0,0,0,0,0,0,0,0,0
Mukdahan,0,0,0,0,0,0,0,0,0,0
Mae Hong Son,0,0,0,0,0,0,0,0,0,0
Yasothon,0,0,0,0,0,0,0,0,0,0
Yala,1,1,0,1,0,0,0,0,0,2
Roi Et,0,0,0,0,0,0,0,0,0,0
Ranong,0,0,0,0,0,0,0,0,0,0
Rayong,2,2,0,0,0,1,0,0,0,3
Ratchaburi,8,7,1,3,2,0,0,0,0,13
Lop Buri,1,1,0,0,1,0,0,0,0,2
Lampang,0,0,0,0,0,0,0,0,0,0
Lamphun,0,0,0,0,0,0,0,0,0,0
Loei,3,0,3,1,0,0,0,0,0,4
Si Sa Ket,3,4,0,1,2,0,0,0,0,7
Sakon Nakhon,1,1,0,1,0,0,0,0,0,2
Songkhla,5,2,2,3,2,0,1,1,0,11
Satun,0,0,0,0,0,0,0,0,0,0
Samut Prakan,25,22,9,10,5,1,0,0,0,47
Samut Songkhram,0,0,0,0,0,0,0,0,0,0
Samut Sakhon,20,15,2,8,6,1,1,0,0,33
Sa Kaeo,0,0,0,0,0,0,0,0,0,0
Saraburi,4,3,2,2,1,0,0,0,0,8
Sing Buri,1,1,1,0,0,0,0,0,0,2
Sukhothai,0,0,0,0,0,0,0,0,0,0
Suphan Buri,7,3,0,6,0,0,0,0,0,9
Surat Thani,1,1,0,1,0,0,0,0,0,2
Surin,1,0,0,0,1,0,0,0,0,1
Nong Khai,0,0,0,0,0,0,0,0,0,0
Nong Bua Lam Phu,1,1,0,1,0,0,0,0,0,2
Ang Thong,2,1,0,2,0,0,0,0,0,3
Amnat Charoen,0,0,0,0,0,0,0,0,0,0
Udon Thani,1,1,0,0,1,0,0,0,0,2
Uttaradit,1,1,0,0,1,0,0,0,0,2
Uthai Thani,2,0,0,2,0,0,0,0,0,2
Ubon Ratchathani,0,0,0,0,0,0,0,0,0,0
รวม,423,311,124,157,78,19,8,4,4,705
